time,activity,city,end
2012-02-06T18:00:00,Clear,San Francisco,2012-02-06T19:00:00
2012-02-06T21:00:00,Partly cloudy,San Francisco,2012-02-06T22:00:00
2012-02-07T00:00:00,Partly cloudy,San Francisco,2012-02-07T01:00:00
2012-02-07T03:00:00,Light drizzle,San Francisco,2012-02-07T04:00:00
2012-02-07T06:00:00,Moderate rain,San Francisco,2012-02-07T07:00:00
2012-02-07T09:00:00,Moderate rain,San Francisco,2012-02-07T10:00:00
2012-02-07T12:00:00,Moderate rain,San Francisco,2012-02-07T13:00:00
2012-02-07T15:00:00,Light rain,San Francisco,2012-02-07T16:00:00
2012-02-07T18:00:00,Light drizzle,San Francisco,2012-02-07T19:00:00
2012-02-07T21:00:00,Overcast,San Francisco,2012-02-07T22:00:00
2012-02-08T00:00:00,Mist,San Francisco,2012-02-08T01:00:00
2012-02-08T03:00:00,Overcast,San Francisco,2012-02-08T04:00:00
2012-02-08T06:00:00,Partly cloudy,San Francisco,2012-02-08T07:00:00
2012-02-08T09:00:00,Sunny,San Francisco,2012-02-08T10:00:00
2012-02-08T12:00:00,Sunny,San Francisco,2012-02-08T13:00:00
2012-02-08T15:00:00,Sunny,San Francisco,2012-02-08T16:00:00
2012-02-08T18:00:00,Clear,San Francisco,2012-02-08T19:00:00
2012-02-08T21:00:00,Clear,San Francisco,2012-02-08T22:00:00
2012-02-09T00:00:00,Clear,San Francisco,2012-02-09T01:00:00
2012-02-09T03:00:00,Clear,San Francisco,2012-02-09T04:00:00
2012-02-09T06:00:00,Mist,San Francisco,2012-02-09T07:00:00
2012-02-09T09:00:00,Fog,San Francisco,2012-02-09T10:00:00
2012-02-09T12:00:00,Sunny,San Francisco,2012-02-09T13:00:00
2012-02-09T15:00:00,Sunny,San Francisco,2012-02-09T16:00:00
2012-02-09T18:00:00,Clear,San Francisco,2012-02-09T19:00:00
2012-02-09T21:00:00,Mist,San Francisco,2012-02-09T22:00:00
2012-02-10T00:00:00,Fog,San Francisco,2012-02-10T01:00:00
2012-02-10T03:00:00,Fog,San Francisco,2012-02-10T04:00:00
2012-02-10T06:00:00,Fog,San Francisco,2012-02-10T07:00:00
